Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2025-01-02,110.81999969482422,112.19999694824219,110.16999816894531,111.69999694824219,5688100
2025-01-03,111.16000366210938,111.54000091552734,110.18000030517578,111.37000274658203,5393100
2025-01-06,111.05000305175781,112.8499984741211,110.87000274658203,111.47000122070312,6274400
2025-01-07,111.38999938964844,113.73999786376953,111.29000091552734,112.1500015258789,7878800
2025-01-08,109.76000213623047,111.11000061035156,108.63999938964844,111.0,7805300
2025-01-10,108.6500015258789,110.54000091552734,107.62000274658203,110.0,8835500
2025-01-13,108.08000183105469,108.61000061035156,106.72000122070312,107.93000030517578,6690200
2025-01-14,108.12000274658203,108.95999908447266,107.61000061035156,108.68000030517578,5501600
2025-01-15,108.18000030517578,109.5999984741211,107.98999786376953,109.16999816894531,6296900
2025-01-16,106.45999908447266,108.5999984741211,106.16000366210938,108.29000091552734,7872800
2025-01-17,107.0199966430664,107.73999786376953,106.54000091552734,106.83000183105469,7144300
2025-01-21,108.69999694824219,109.44999694824219,106.80000305175781,107.0999984741211,8643700
2025-01-22,108.80999755859375,109.55000305175781,108.2300033569336,109.55000305175781,8781700
2025-01-23,111.04000091552734,111.06999969482422,108.48999786376953,108.5,7608300
2025-01-24,112.16000366210938,113.38999938964844,110.62999725341797,111.16000366210938,8304500
2025-01-27,113.33999633789062,114.08000183105469,111.45999908447266,111.68000030517578,10176900
2025-01-28,112.13999938964844,112.95999908447266,111.55999755859375,112.8499984741211,6516800
2025-01-29,113.19000244140625,114.37999725341797,112.76000213623047,113.5,7607100
2025-01-30,113.43000030517578,115.18000030517578,113.12000274658203,114.08999633789062,6236200
2025-01-31,113.05999755859375,114.01000213623047,112.76000213623047,113.30000305175781,7797700
2025-02-03,114.0,114.5999984741211,110.86000061035156,111.3499984741211,8870700
2025-02-04,113.30000305175781,114.66000366210938,112.51000213623047,113.80000305175781,13521100
2025-02-05,110.54000091552734,118.58999633789062,110.2300033569336,115.69999694824219,23310000
2025-02-06,112.08999633789062,112.68000030517578,109.1500015258789,111.87999725341797,12470800
2025-02-07,110.86000061035156,112.55000305175781,110.80999755859375,111.61000061035156,8669300
2025-02-10,109.27999877929688,111.37999725341797,108.69000244140625,111.13999938964844,8239500
2025-02-11,109.0199966430664,109.05000305175781,107.69000244140625,108.37999725341797,7456700
2025-02-12,109.2300033569336,109.52999877929688,107.75,108.25,6521200
2025-02-13,109.58999633789062,109.76000213623047,108.55999755859375,108.91999816894531,6553200
2025-02-14,110.37999725341797,110.51000213623047,109.58999633789062,109.86000061035156,5964500
2025-02-18,109.55999755859375,109.91999816894531,108.70999908447266,109.77999877929688,8362900
2025-02-19,111.3499984741211,111.76000213623047,109.13999938964844,109.13999938964844,8452100
2025-02-20,110.55000305175781,111.5199966430664,109.37999725341797,111.23999786376953,5970100
2025-02-21,108.66000366210938,111.76000213623047,107.91999816894531,111.0,9082100
2025-02-24,111.19999694824219,111.55999755859375,108.6500015258789,108.83999633789062,7093300
2025-02-25,110.52999877929688,111.9000015258789,109.06999969482422,111.43000030517578,7289000
2025-02-26,111.83000183105469,113.25,110.05999755859375,110.05999755859375,7831600
2025-02-27,111.30999755859375,113.12000274658203,111.05999755859375,112.31999969482422,7854700
2025-02-28,113.80000305175781,113.98999786376953,111.0,111.45999908447266,14609400
2025-03-03,112.79000091552734,115.55000305175781,112.0,114.06999969482422,7884700
2025-03-04,109.01000213623047,112.25,108.2699966430664,111.69999694824219,12658000
2025-03-05,109.30999755859375,110.94000244140625,108.22000122070312,109.33999633789062,9956100
2025-03-06,105.43000030517578,108.83000183105469,105.0199966430664,108.37999725341797,11618800
2025-03-07,105.51000213623047,105.7699966430664,103.30999755859375,105.0,12715900
2025-03-10,103.08000183105469,104.80000305175781,102.11000061035156,104.43000030517578,10947100
2025-03-11,97.9000015258789,101.04000091552734,97.44999694824219,99.79000091552734,16906000
2025-03-12,98.76000213623047,99.48999786376953,96.37999725341797,98.68000030517578,11891800
2025-03-13,96.87000274658203,98.6500015258789,95.93000030517578,97.7699966430664,11059500
2025-03-14,98.63999938964844,99.0999984741211,97.41999816894531,97.44000244140625,10199800
2025-03-17,99.36000061035156,100.12000274658203,98.66000366210938,98.73999786376953,8332100
2025-03-18,99.3499984741211,99.7300033569336,98.4800033569336,99.2699966430664,6727000
2025-03-19,100.29000091552734,100.95999908447266,99.47000122070312,99.66000366210938,8614600
2025-03-20,98.86000061035156,100.05000305175781,98.63999938964844,99.56999969482422,7836500
2025-03-21,99.45999908447266,99.88999938964844,97.75,98.37999725341797,15089900
2025-03-24,100.18000030517578,100.44000244140625,98.86000061035156,100.22000122070312,8224400
2025-03-25,101.61000061035156,101.76000213623047,100.41000366210938,100.6500015258789,7365200
2025-03-26,100.77999877929688,102.2699966430664,100.26000213623047,101.69999694824219,6314000
2025-03-27,100.44999694824219,101.02999877929688,99.58000183105469,100.70999908447266,6598800
2025-03-28,98.06999969482422,100.38999938964844,97.73999786376953,100.05000305175781,7679700
2025-03-31,98.69999694824219,98.8499984741211,95.69999694824219,96.83000183105469,10554000
2025-04-01,97.68000030517578,98.58999633789062,96.83999633789062,98.31999969482422,8762700
2025-04-02,97.87999725341797,98.30999755859375,96.44999694824219,96.62000274658203,7959900
2025-04-03,88.83999633789062,94.77999877929688,88.61000061035156,94.51000213623047,19353400
2025-04-04,83.52999877929688,87.54000091552734,83.08000183105469,86.0,22580900
2025-04-07,83.30000305175781,86.62999725341797,80.0999984741211,80.98999786376953,20456000
2025-04-08,81.72000122070312,86.94999694824219,80.8499984741211,85.94999694824219,14845600
2025-04-09,91.44000244140625,92.25,81.19000244140625,81.29000091552734,24970900
2025-04-10,85.2300033569336,89.01000213623047,83.06999969482422,88.91999816894531,16377000
2025-04-11,84.88999938964844,85.66999816894531,83.3499984741211,85.11000061035156,10204400
2025-04-14,84.66000366210938,86.44999694824219,84.02999877929688,85.83000183105469,10841300
2025-04-15,85.01000213623047,85.9800033569336,84.5199966430664,84.75,7840500
2025-04-16,82.7699966430664,84.80000305175781,82.01000213623047,84.27999877929688,10144300
2025-04-17,84.80999755859375,85.77999877929688,83.36000061035156,83.37000274658203,14728100
2025-04-21,84.0,85.2300033569336,82.9800033569336,84.91000366210938,14166800
2025-04-22,86.08999633789062,86.55999755859375,84.5999984741211,85.01000213623047,9578500
2025-04-23,87.29000091552734,89.87000274658203,87.02999877929688,89.02999877929688,12089100
2025-04-24,90.01000213623047,90.23999786376953,86.7699966430664,87.44999694824219,10310000
2025-04-25,90.27999877929688,90.33999633789062,89.06999969482422,90.06999969482422,7749600
2025-04-28,90.16000366210938,91.37000274658203,89.63999938964844,90.44999694824219,8491800
2025-04-29,91.16999816894531,91.66000366210938,89.76000213623047,89.83000183105469,6359900
2025-04-30,90.94999694824219,91.19000244140625,88.55999755859375,89.88999938964844,8474800
2025-05-01,90.80999755859375,91.61000061035156,90.36000061035156,91.2699966430664,7790600
2025-05-02,92.48999786376953,93.19000244140625,91.83999633789062,91.83999633789062,7594000
2025-05-05,92.11000061035156,93.08000183105469,89.61000061035156,89.69999694824219,10231000
2025-05-06,92.16999816894531,92.73999786376953,91.0,91.19999694824219,11839400
2025-05-07,102.08999633789062,103.30999755859375,100.13999938964844,102.41999816894531,36155300
2025-05-08,105.12000274658203,106.19000244140625,103.86000061035156,103.97000122070312,19265400
2025-05-09,105.94000244140625,106.19000244140625,104.76000213623047,105.26000213623047,10438200
2025-05-12,110.48999786376953,110.94000244140625,108.66000366210938,109.87000274658203,18366600
2025-05-13,111.37999725341797,112.19999694824219,110.1500015258789,110.25,14076700
2025-05-14,112.94000244140625,113.41000366210938,110.83000183105469,111.37999725341797,15352200
2025-05-15,112.22000122070312,112.8499984741211,111.58000183105469,112.2300033569336,8322400
2025-05-16,113.41999816894531,113.44000244140625,111.41999816894531,111.91999816894531,10961000
2025-05-19,112.66000366210938,112.98999786376953,111.9000015258789,112.12000274658203,7209700
2025-05-20,112.36000061035156,113.4000015258789,111.80999755859375,112.44000244140625,6433300
2025-05-21,110.45999908447266,112.48999786376953,110.12999725341797,111.69000244140625,10150600
2025-05-22,111.12999725341797,111.80000305175781,109.9800033569336,109.9800033569336,7903700
2025-05-23,109.72000122070312,110.3499984741211,108.77999877929688,109.5999984741211,8086100
2025-05-27,112.36000061035156,112.88999938964844,110.1500015258789,111.02999877929688,10201100
2025-05-28,111.5199966430664,112.47000122070312,111.16999816894531,112.19999694824219,5787900
2025-05-29,112.0199966430664,112.26000213623047,110.5199966430664,112.01000213623047,9682100
2025-05-30,113.04000091552734,113.3499984741211,111.37000274658203,112.01000213623047,12878800
